candidato_nombre,partido,candidato_porcentaje,candidato_votos,departamento,municipio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.03,1861,Cesar,La Paz
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.96,206,Cesar,La Paz
votos no marcados,votos no marcados,,96,Cesar,La Paz
votos nulos,votos nulos,,27,Cesar,La Paz
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.08,545,Tolima,Armero (guayabal)
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.91,60,Tolima,Armero (guayabal)
votos no marcados,votos no marcados,,13,Tolima,Armero (guayabal)
votos nulos,votos nulos,,26,Tolima,Armero (guayabal)
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",97.79,5596,Cauca,Toribio
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",2.2,126,Cauca,Toribio
votos no marcados,votos no marcados,,279,Cauca,Toribio
votos nulos,votos nulos,,204,Cauca,Toribio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",100.0,5,Guainia,San Felipe
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",0.0,0,Guainia,San Felipe
votos no marcados,votos no marcados,,1,Guainia,San Felipe
votos nulos,votos nulos,,0,Guainia,San Felipe
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",96.1,2371,Cauca,Caldono
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",3.89,96,Cauca,Caldono
votos no marcados,votos no marcados,,202,Cauca,Caldono
votos nulos,votos nulos,,59,Cauca,Caldono
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",94.13,882,Tolima,Coyaima
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",5.86,55,Tolima,Coyaima
votos no marcados,votos no marcados,,131,Tolima,Coyaima
votos nulos,votos nulos,,38,Tolima,Coyaima
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.34,10608,Valle,Yumbo
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.65,1005,Valle,Yumbo
votos no marcados,votos no marcados,,337,Valle,Yumbo
votos nulos,votos nulos,,313,Valle,Yumbo
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",88.16,216,Antioquia,Mutata
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",11.83,29,Antioquia,Mutata
votos no marcados,votos no marcados,,12,Antioquia,Mutata
votos nulos,votos nulos,,8,Antioquia,Mutata
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.13,3229,Meta,Acacias
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.86,655,Meta,Acacias
votos no marcados,votos no marcados,,124,Meta,Acacias
votos nulos,votos nulos,,189,Meta,Acacias
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",86.51,507,Casanare,Monterrey
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",13.48,79,Casanare,Monterrey
votos no marcados,votos no marcados,,35,Casanare,Monterrey
votos nulos,votos nulos,,22,Casanare,Monterrey
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",83.2,213,Huila,Teruel
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",16.79,43,Huila,Teruel
votos no marcados,votos no marcados,,13,Huila,Teruel
votos nulos,votos nulos,,6,Huila,Teruel
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.61,2602,Huila,La Plata
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.38,238,Huila,La Plata
votos no marcados,votos no marcados,,128,Huila,La Plata
votos nulos,votos nulos,,62,Huila,La Plata
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",91.71,310,Choco,Novita
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",8.28,28,Choco,Novita
votos no marcados,votos no marcados,,74,Choco,Novita
votos nulos,votos nulos,,11,Choco,Novita
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",82.16,470,Antioquia,Puerto Berrio
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",17.83,102,Antioquia,Puerto Berrio
votos no marcados,votos no marcados,,26,Antioquia,Puerto Berrio
votos nulos,votos nulos,,20,Antioquia,Puerto Berrio
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",90.7,205,Cundinamarca,Guayabetal
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",9.29,21,Cundinamarca,Guayabetal
votos no marcados,votos no marcados,,10,Cundinamarca,Guayabetal
votos nulos,votos nulos,,8,Cundinamarca,Guayabetal
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",79.6,3424,Magdalena,El Banco
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",20.39,877,Magdalena,El Banco
votos no marcados,votos no marcados,,191,Magdalena,El Banco
votos nulos,votos nulos,,55,Magdalena,El Banco
Gustavo Petro,"Movimiento Alternativo Indígena Y Social - Mais - Y Gsc ""Colombia Humana""",84.55,104,Cundinamarca,Cucunuba
Carlos Caicedo,"G.S.C. ""Fuerza Ciudadana""",15.44,19,Cundinamarca,Cucunuba
votos no marcados,votos no marcados,,2,Cundinamarca,Cucunuba
votos nulos,votos nulos,,3,Cundinamarca,Cucunuba
