candidato_nombre,partido,candidato_porcentaje,candidato_votos,departamento,municipio
Iván Duque,Partido Centro Democrático,90.43,1683,Sucre,San Juan De Betulia (betulia)
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,7.57,141,Sucre,San Juan De Betulia (betulia)
Alejandro Ordóñez,G.S.C. La Patria De Pie,1.98,37,Sucre,San Juan De Betulia (betulia)
votos no marcados,votos no marcados,,27,Sucre,San Juan De Betulia (betulia)
votos nulos,votos nulos,,7,Sucre,San Juan De Betulia (betulia)
Iván Duque,Partido Centro Democrático,66.11,240,Caqueta,Solita
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,28.37,103,Caqueta,Solita
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.5,20,Caqueta,Solita
votos no marcados,votos no marcados,,17,Caqueta,Solita
votos nulos,votos nulos,,8,Caqueta,Solita
Iván Duque,Partido Centro Democrático,57.39,97,Choco,San Jose Del Palmar
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,40.23,68,Choco,San Jose Del Palmar
Alejandro Ordóñez,G.S.C. La Patria De Pie,2.36,4,Choco,San Jose Del Palmar
votos no marcados,votos no marcados,,5,Choco,San Jose Del Palmar
votos nulos,votos nulos,,2,Choco,San Jose Del Palmar
Iván Duque,Partido Centro Democrático,62.42,2301,Risaralda,La Virginia
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,25.93,956,Risaralda,La Virginia
Alejandro Ordóñez,G.S.C. La Patria De Pie,11.63,429,Risaralda,La Virginia
votos no marcados,votos no marcados,,67,Risaralda,La Virginia
votos nulos,votos nulos,,63,Risaralda,La Virginia
Iván Duque,Partido Centro Democrático,46.87,15,Amazonas,La Chorrera
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,37.5,12,Amazonas,La Chorrera
Alejandro Ordóñez,G.S.C. La Patria De Pie,15.62,5,Amazonas,La Chorrera
votos no marcados,votos no marcados,,3,Amazonas,La Chorrera
votos nulos,votos nulos,,0,Amazonas,La Chorrera
Iván Duque,Partido Centro Democrático,77.34,1434,Cesar,La Jagua De Ibirico
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,16.66,309,Cesar,La Jagua De Ibirico
Alejandro Ordóñez,G.S.C. La Patria De Pie,5.98,111,Cesar,La Jagua De Ibirico
votos no marcados,votos no marcados,,42,Cesar,La Jagua De Ibirico
votos nulos,votos nulos,,25,Cesar,La Jagua De Ibirico
Iván Duque,Partido Centro Democrático,63.99,13442,Cundinamarca,Fusagasuga
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,29.44,6184,Cundinamarca,Fusagasuga
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.56,1378,Cundinamarca,Fusagasuga
votos no marcados,votos no marcados,,211,Cundinamarca,Fusagasuga
votos nulos,votos nulos,,294,Cundinamarca,Fusagasuga
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,52.14,995,Boyaca,Nobsa
Iván Duque,Partido Centro Democrático,41.03,783,Boyaca,Nobsa
Alejandro Ordóñez,G.S.C. La Patria De Pie,6.81,130,Boyaca,Nobsa
votos no marcados,votos no marcados,,26,Boyaca,Nobsa
votos nulos,votos nulos,,31,Boyaca,Nobsa
Martha Lucía Ramírez,G.S.C. Por Una Colombia Honesta Y Fuerte Martha Lucia,50.69,366,Nariño,Taminango
